,fighter,salary,year
1333,Mackens Semerzier,"$8,000 ",2013
1334,Manuel Rodriguez,"$8,000 ",2013
1335,Mike Ricci,"$8,000 ",2013
1336,Phil Harris,"$8,000 ",2013
1337,Reuben Duran,"$8,000 ",2013
1338,Stanislav Nedkov,"$8,000 ",2013
1339,Ulysses Gomez,"$8,000 ",2013
1340,Vinc Pichel,"$8,000 ",2013
1341,Wagner Campos,"$8,000 ",2013
1342,John Teixeira,"$6,400 ",2013
1343,Aaron Rosa,"$6,000 ",2013
1344,Alex Soto,"$6,000 ",2013
1345,Andy Ogle,"$6,000 ",2013
1346,Azamat Gashimov,"$6,000 ",2013
1347,Besam Yousef,"$6,000 ",2013
1348,Brock Jardine,"$6,000 ",2013
1349,Byron Bloodworth,"$6,000 ",2013
1350,Dan Stittgen,"$6,000 ",2013
1351,Dustin Jacoby,"$6,000 ",2013
1352,Ednaldo Oliveira,"$6,000 ",2013
1353,John Cholish,"$6,000 ",2013
1354,Jorge Lopez,"$6,000 ",2013
1355,Joseph Sandoval,"$6,000 ",2013
1356,Luis Ramos,"$6,000 ",2013
1357,Magnus Cedenblad,"$6,000 ",2013
1358,Milton Vieira,"$6,000 ",2013
1359,Mitch Clarke,"$6,000 ",2013
1360,Motonobu Tezuka,"$6,000 ",2013
1361,Papy Abedi,"$6,000 ",2013
1362,Pascal Krauss,"$6,000 ",2013
1363,Renee Forte,"$6,000 ",2013
1364,Roger Hollett,"$6,000 ",2013
1365,Vagner Rocha,"$6,000 ",2013
1366,CJ Keith,"$4,800 ",2013
1367,Michael Bisping,"$975,000 ",2014
1368,Robbie Lawler,"$830,000 ",2014
1369,Lyoto Machida,"$750,000 ",2014
1370,Jose Aldo,"$630,000 ",2014
1371,Donald Cerrone,"$616,000 ",2014
1372,Gegard Mousasi,"$600,000 ",2014
1373,Frankie Edgar,"$590,000 ",2014
1374,Chris Weidman,"$500,000 ",2014
1375,Renan Barao,"$466,000 ",2014
1376,Rory MacDonald,"$418,000 ",2014
1377,Mauricio ‘Shogun’ Rua,"$410,000 ",2014
1378,Alistair Overeem,"$400,000 ",2014
1379,Fabricio Werdum,"$400,000 ",2014
1380,Jon Jones,"$400,000 ",2014
1381,Luke Rockhold,"$370,000 ",2014
1382,Mark Hunt,"$370,000 ",2014
1383,Demetrious Johnson,"$362,000 ",2014
1384,Urijah Faber,"$360,000 ",2014
1385,Dan Henderson,"$350,000 ",2014
1386,Matt Mitrione,"$346,000 ",2014
1387,Tyron Woodley,"$342,000 ",2014
1388,Ronaldo “Jacare’ Souza,"$340,000 ",2014
1389,Daniel Cormier,"$330,000 ",2014
1390,Ronda Rousey,"$330,000 ",2014
1391,T.J. Dillashaw,"$314,000 ",2014
1392,Junior dos Santos,"$310,000 ",2014
1393,Hector Lombard,"$300,000 ",2014
1394,Johny Hendricks,"$300,000 ",2014
1395,Rafael dos Anjos,"$297,000 ",2014
1396,Conor McGregor,"$282,000 ",2014
1397,Benson Henderson,"$278,000 ",2014
1398,Matt Brown,"$278,000 ",2014
1399,Takanori Gomi,"$270,000 ",2014
1400,Anthony ‘Rumble’ Johnson,"$262,000 ",2014
1401,Ovince Saint Preux,"$256,000 ",2014
1402,Jorge Masvidal,"$252,000 ",2014
1403,Max Holloway,"$252,000 ",2014
1404,Anthony Pettis,"$250,000 ",2014
1405,Antonio Rodrigo Nogueira,"$250,000 ",2014
1406,Erick Silva,"$244,000 ",2014
1407,Demian Maia,"$242,000 ",2014
1408,Charles Oliveira,"$241,300 ",2014
1409,Yoel Romero,"$236,000 ",2014
1410,Joseph Benavidez,"$230,000 ",2014
1411,Scott Jorgensen,"$220,400 ",2014
1412,Stipe Miocic,"$220,000 ",2014
1413,Dennis Bermudez,"$218,000 ",2014
1414,Dong Hyun Kim,"$214,000 ",2014
1415,Diego Sanchez,"$210,000 ",2014
1416,Gleison Tibau,"$210,000 ",2014
1417,Tim Kennedy,"$210,000 ",2014
1418,Ryan Bader,"$208,000 ",2014
1419,Andrei Arlovski,"$206,000 ",2014
1420,Frank Mir,"$200,000 ",2014
1421,Gilbert Melendez,"$200,000 ",2014
1422,Jeremy Stephens,"$198,000 ",2014
1423,C.B. Dollaway,"$190,000 ",2014
1424,Clay Guida,"$188,000 ",2014
1425,Tim Boetsch,"$182,000 ",2014
1426,Ramsey Nijem,"$178,000 ",2014
1427,Alex Caceres,"$174,000 ",2014
1428,Alexander Gustafsson,"$174,000 ",2014
1429,Gunnar Nelson,"$173,000 ",2014
1430,Josh Thomson,"$170,000 ",2014
1431,Ross Pearson,"$170,000 ",2014
1432,Yancy Medeiros,"$166,000 ",2014
1433,Abel Trujillo,"$163,000 ",2014
1434,KJ Noons,"$163,000 ",2014
1435,Rick Story,"$163,000 ",2014
1436,Ben Rothwell,"$162,000 ",2014
1437,Sergio Pettis,"$160,000 ",2014
1438,Edson Barboza,"$155,000 ",2014
1439,Jim Miller,"$154,000 ",2014
1440,Cub Swanson,"$153,000 ",2014
1441,Diego Ferreira,"$151,000 ",2014
1442,B.J. Penn,"$150,000 ",2014
1443,Cung Le,"$150,000 ",2014
1444,Dominick Cruz,"$150,000 ",2014
1445,Travis Browne,"$150,000 ",2014
1446,Kelvin Gastelum,"$147,000 ",2014
1447,Mike Pyle,"$147,000 ",2014
1448,Robert Whittaker,"$145,000 ",2014
1449,Godofredo ‘Pepey’ Castro,"$144,000 ",2014
1450,Leandro Issa,"$142,500 ",2014
1451,John Moraga,"$141,000 ",2014
1452,Dustin Poirier,"$140,000 ",2014
1453,Seth Baczynski,"$140,000 ",2014
1454,Cathal Pendred,"$136,000 ",2014
1455,Jake Ellenberger,"$136,000 ",2014
1456,Ricardo Lamas,"$135,000 ",2014
1457,Piotr Hallmann,"$132,000 ",2014
1458,Fabio Maldonado,"$131,000 ",2014
1459,Nate Marquardt,"$130,000 ",2014
1460,Jamie Varner,"$129,000 ",2014
1461,Thiago Alves,"$128,000 ",2014
1462,Tony Ferguson,"$128,000 ",2014
1463,Ed Herman,"$127,000 ",2014
1464,Jordan Mein,"$126,000 ",2014
1465,Roy Nelson,"$124,000 ",2014
1466,Tae Hyun Bang,"$124,000 ",2014
1467,Tatsuya Kawajiri,"$123,000 ",2014
1468,Miesha Tate,"$122,000 ",2014
1469,Nik Lentz,"$120,200 ",2014
1470,Stefan Struve,"$120,000 ",2014
1471,Thales Leites,"$120,000 ",2014
1472,Raphael Assuncao,"$118,000 ",2014
1473,Dennis Siver,"$116,000 ",2014
1474,Joe Lauzon,"$116,000 ",2014
1475,Antonio Rogerio Nogueira,"$114,000 ",2014
1476,Derek Brunson,"$113,000 ",2014
1477,Gian Villante,"$113,000 ",2014
1478,Neil Magny,"$112,000 ",2014
1479,Darren Elkins,"$111,000 ",2014
1480,Kiichi Kunimoto,"$110,000 ",2014
1481,Louis Smolka,"$110,000 ",2014
1482,Michael Chiesa,"$110,000 ",2014
1483,Stephen Thompson,"$110,000 ",2014
1484,Iuri Alcantara,"$108,000 ",2014
1485,Tarec Saffiedine,"$107,500 ",2014
1486,Brad Pickett,"$106,000 ",2014
1487,Cole Miller,"$106,000 ",2014
1488,Ben Saunders,"$102,000 ",2014
1489,Daron Cruickshank,"$101,000 ",2014
1490,Carla Esparza,"$100,000 ",2014
1491,Cezar ‘Mutante’ Ferreira,"$100,000 ",2014
1492,Clint Hester,"$100,000 ",2014
1493,Eddie Alvarez,"$100,000 ",2014
1494,Al Iaquinta,"$98,000 ",2014
1495,Chad Mendes,"$98,000 ",2014
1496,Chris Cariaso,"$98,000 ",2014
1497,Danny Castillo,"$98,000 ",2014
1498,Thiago Tavares,"$96,000 ",2014
1499,Adriano Martins,"$95,000 ",2014
1500,Russell Doane,"$95,000 ",2014
1501,John Lineker,"$94,000 ",2014
1502,Maximo Blanco,"$91,000 ",2014
1503,Patrick Cote,"$91,000 ",2014
1504,Francis Carmont,"$90,000 ",2014
1505,Phil Davis,"$90,000 ",2014
1506,Takeya Mizugaki,"$90,000 ",2014
1507,Soa Palelei,"$89,000 ",2014
1508,Alex White,"$86,000 ",2014
1509,Chris Beal,"$86,000 ",2014
1510,Gilbert Burns,"$86,000 ",2014
1511,Hyun Gyu Lim,"$86,000 ",2014
1512,Isaac Vallie-Flagg,"$86,000 ",2014
1513,Kyung Ho Kang,"$86,000 ",2014
1514,Magnus Cedenblad,"$86,000 ",2014
1515,Aleksei Oleinik,"$86,000 ",2014
1516,Lorenz Larkin,"$82,000 ",2014
1517,Lucas Martins,"$82,000 ",2014
1518,Ryan Jimmo,"$82,000 ",2014
1519,Niklas Backstrom,"$78,000 ",2014
1520,Rafael Natal,"$78,000 ",2014
1521,Alan Jouban,"$76,000 ",2014
1522,Dustin Ortiz,"$76,000 ",2014
1523,Gabriel Gonzaga,"$76,000 ",2014
1524,Mark Eddiva,"$76,000 ",2014
1525,Matt Hobar,"$76,000 ",2014
1526,Michinori Tanaka,"$76,000 ",2014
1527,Paddy Holohan,"$76,000 ",2014
1528,Yuta Sasaki,"$76,000 ",2014
1529,Antonio ‘Bigfoot’ Silva,"$75,000 ",2014
1530,Jake Shields,"$75,000 ",2014
1531,Manny Gamburyan,"$75,000 ",2014
1532,Ian Entwistle,"$74,000 ",2014
1533,Jumabieke Tuerxun,"$74,000 ",2014
1534,Leandro Silva,"$74,000 ",2014
1535,Olivier Aubin-Mercier,"$74,000 ",2014
1536,Ray Borg,"$74,000 ",2014
1537,Vitor Miranda,"$74,000 ",2014
1538,Akira Corassani,"$70,000 ",2014
1539,Alptekin Ozkilic,"$70,000 ",2014
1540,Beneil Dariush,"$70,000 ",2014
1541,Brad Tavares,"$70,000 ",2014
1542,Mitch Clarke,"$70,000 ",2014
1543,Yoshihiro Akiyama,"$70,000 ",2014
1544,Costas Philippou,"$69,000 ",2014
1545,Patrick Cummins,"$68,000 ",2014
1546,Alberto Mina,"$66,000 ",2014
1547,Bobby Green,"$66,000 ",2014
1548,Chris Kelades,"$66,000 ",2014
1549,Danny Martinez,"$66,000 ",2014
1550,Edimilson ‘Kevin’ Souza,"$66,000 ",2014
1551,Henry Briones,"$66,000 ",2014
1552,Jessica Penne,"$66,000 ",2014
1553,Johnny Case,"$66,000 ",2014
1554,Johnny Eduardo,"$66,000 ",2014
1555,Josh Samman,"$66,000 ",2014
1556,Kazuki Tokudome,"$66,000 ",2014
1557,Mike Wilkinson,"$66,000 ",2014
1558,Paige VanZant,"$66,000 ",2014
1559,Rob Font,"$66,000 ",2014
1560,Sean O’Connell,"$66,000 ",2014
1561,Thomas Almeida,"$66,000 ",2014
1562,Tim Gorman,"$66,000 ",2014
1563,Yui Chul Nam,"$66,000 ",2014
1564,Brendan Schaub,"$64,000 ",2014
1565,Khabib Nurmagomedov,"$64,000 ",2014
1566,Jimi Manuwa,"$62,000 ",2014
1567,Wilson Reis,"$60,600 ",2014
1568,Diego Brandao,"$60,000 ",2014
1569,Glover Teixeira,"$60,000 ",2014
1570,Rani Yahya,"$60,000 ",2014
1571,Rashid Magomedov,"$60,000 ",2014
1572,Rony Jason,"$60,000 ",2014
1573,Carlos Condit,"$59,000 ",2014
1574,Eddie Wineland,"$59,000 ",2014
1575,Hatsu Hioki,"$59,000 ",2014
1576,Charles Rosa,"$58,000 ",2014
1577,Elias Silverio,"$58,000 ",2014
1578,Guido Cannetti,"$58,000 ",2014
1579,Jared Rosholt,"$58,000 ",2014
1580,Kailin Curran,"$58,000 ",2014
1581,Kajan Johnson,"$58,000 ",2014
1582,Mitch Gagnon,"$58,000 ",2014
1583,Randa Markos,"$58,000 ",2014
1584,Trevor Smith,"$58,000 ",2014
1585,Chico Camus,"$56,000 ",2014
1586,Francisco Trinaldo,"$56,000 ",2014
1587,George Roop,"$56,000 ",2014
1588,Alexis Davis,"$54,000 ",2014
1589,Tim Means,"$54,000 ",2014
1590,Caio Magalhaes,"$52,000 ",2014
1591,Luke Barnatt,"$52,000 ",2014
1592,Myles Jury,"$52,000 ",2014
1593,Derrick Lewis,"$51,000 ",2014
1594,Dustin Kimura,"$50,000 ",2014
1595,Pat Healy,"$50,000 ",2014
1596,Nicholas Musoke,"$49,000 ",2014
1597,Erik Koch,"$48,000 ",2014
1598,Ilir Latifi,"$48,000 ",2014
1599,Jussier ‘Formiga’ da Silva,"$48,000 ",2014
1600,Kenny Robertson,"$48,000 ",2014
1601,Sara McMann,"$48,000 ",2014
1602,Yves Edwards,"$48,000 ",2014
1603,Jan Blachowicz,"$47,000 ",2014
1604,Mark Munoz,"$47,000 ",2014
1605,Chris Camozzi,"$46,000 ",2014
1606,Corey Anderson,"$46,000 ",2014
1607,Elias Theodorou,"$46,000 ",2014
1608,Katsunori Kikuno,"$46,000 ",2014
1609,Mairbek Taisumov,"$46,000 ",2014
1610,Mark Bocek,"$46,000 ",2014
1611,Nikita Krylov,"$46,000 ",2014
1612,Robert Peralta,"$46,000 ",2014
1613,Warlley Alves,"$46,000 ",2014
1614,Gray Maynard,"$45,000 ",2014
1615,Leonardo Santos,"$45,000 ",2014
1616,Norman Parke,"$45,000 ",2014
1617,Albert Tumenov,"$44,000 ",2014
1618,Bethe Correia,"$44,000 ",2014
1619,Chas Skelly,"$44,000 ",2014
1620,Jessica Andrade,"$44,000 ",2014
1621,Justin Scoggins,"$44,000 ",2014
1622,Kevin Lee,"$44,000 ",2014
1623,Kyoji Horiguchi,"$44,000 ",2014
1624,Michael Johnson,"$44,000 ",2014
1625,Pedro Munhoz,"$44,000 ",2014
1626,Rodrigo Damm,"$44,000 ",2014
1627,Brian Ebersole,"$42,000 ",2014
1628,Joe Proctor,"$42,000 ",2014
1629,John Howard,"$42,000 ",2014
1630,Melvin Guillard,"$42,000 ",2014
1631,Sam Sicilia,"$42,000 ",2014
1632,Tom Watson,"$42,000 ",2014
1633,Yves Jabouin,"$42,000 ",2014
1634,Anthony Njokuani,"$40,000 ",2014
1635,Ian McCall,"$40,000 ",2014
1636,Ildemar Alcantara,"$40,000 ",2014
1637,John Dodson,"$40,000 ",2014
1638,Ali Bagautinov,"$38,000 ",2014
1639,Zach Makovsky,"$38,000 ",2014
1640,Aljamain Sterling,"$36,000 ",2014
1641,Chad Laprise,"$36,000 ",2014
1642,Claudio Silva,"$36,000 ",2014
1643,Colby Covington,"$36,000 ",2014
1644,Ernest Chavez,"$36,000 ",2014
1645,George Sullivan,"$36,000 ",2014
1646,Jake Matthews,"$36,000 ",2014
1647,James Vick,"$36,000 ",2014
1648,Joanna Jedrzejczyk,"$36,000 ",2014
1649,Justin Salas,"$36,000 ",2014
1650,Matt Wiman,"$36,000 ",2014
1651,Nordine Taleb,"$36,000 ",2014
1652,Paulo Thiago,"$36,000 ",2014
1653,Royston Wee,"$36,000 ",2014
1654,Ruslan Magomedov,"$36,000 ",2014
1655,Sean Strickland,"$36,000 ",2014
1656,Zubaira Tukhugov,"$36,000 ",2014
1657,Francisco Rivera,"$35,000 ",2014
1658,Igor Araujo,"$35,000 ",2014
1659,James Krause,"$35,000 ",2014
1660,Rafael ‘Feijao’ Cavalcante,"$35,000 ",2014
1661,Anthony Hamilton,"$34,000 ",2014
1662,Cody Gibson,"$34,000 ",2014
1663,Gasan Umalatov,"$34,000 ",2014
1664,Leslie Smith,"$34,000 ",2014
1665,Luke Zachrich,"$34,000 ",2014
1666,Sam Stout,"$34,000 ",2014
1667,Sarah Kaufman,"$34,000 ",2014
1668,Vik Grujic,"$34,000 ",2014
1669,Yosdenis Cedeno,"$34,000 ",2014
1670,Alex Garcia,"$32,000 ",2014
1671,Bryan Caraway,"$32,000 ",2014
1672,Felipe Arantes,"$32,000 ",2014
1673,Marcos Rogerio de Lima,"$32,000 ",2014
1674,Anthony Rocco Martin,"$32,000 ",2014
1675,Vinc Pichel,"$32,000 ",2014
1676,Antonio Carlos Junior,"$31,000 ",2014
1677,Eddie Gordon,"$31,000 ",2014
1678,Charlie Brenneman,"$30,000 ",2014
1679,Chris Holdsworth,"$30,000 ",2014
1680,Daniel Sarafian,"$30,000 ",2014
1681,Henry Cejudo,"$30,000 ",2014
1682,James Te Huna,"$30,000 ",2014
1683,Marcus Brimage,"$30,000 ",2014
1684,Raquel Pennington,"$30,000 ",2014
1685,Steven Siler,"$30,000 ",2014
1686,Tom Niinimaki,"$30,000 ",2014
1687,Yan Cabral,"$30,000 ",2014
1688,Anthony Perosh,"$28,000 ",2014
1689,John Makdessi,"$28,000 ",2014
1690,Mike Easton,"$28,000 ",2014
1691,Yaotzin Meza,"$28,000 ",2014
1692,Thiago Santos,"$27,600 ",2014
1693,Bruno Santos,"$26,000 ",2014
1694,Claudia Gadelha,"$26,000 ",2014
1695,Dan Hooker,"$26,000 ",2014
1696,Hans Stringer,"$26,000 ",2014
1697,Jason Saggo,"$26,000 ",2014
1698,Joe Ellenberger,"$26,000 ",2014
1699,Jon Tuck,"$26,000 ",2014
1700,Li Jingliang,"$26,000 ",2014
1701,Nick Catone,"$26,000 ",2014
1702,Nick Hein,"$26,000 ",2014
1703,Richie Vaculik,"$26,000 ",2014
1704,Zak Cummings,"$26,000 ",2014
1705,Evan Dunham,"$25,000 ",2014
1706,Rose Namajunas,"$25,000 ",2014
1707,Akbarh Arreola,"$24,000 ",2014
1708,Amir Sadollah,"$24,000 ",2014
1709,Andre Fili,"$24,000 ",2014
1710,Anthony Birchak,"$24,000 ",2014
1711,Clay Collard,"$24,000 ",2014
1712,David Michaud,"$24,000 ",2014
1713,Dhiego Lima,"$24,000 ",2014
1714,Drew Dober,"$24,000 ",2014
1715,Hacran Dias,"$24,000 ",2014
1716,Hugo Viana,"$24,000 ",2014
1717,Jessica Eye,"$24,000 ",2014
1718,Johnny Bedford,"$24,000 ",2014
1719,Juliana Lima,"$24,000 ",2014
1720,Krzysztof Jotko,"$24,000 ",2014
1721,Masanori Kanehara,"$24,000 ",2014
1722,Mike Rhodes,"$24,000 ",2014
1723,Neil Seery,"$24,000 ",2014
1724,Richard Walsh,"$24,000 ",2014
1725,Roger Narvaez,"$24,000 ",2014
1726,Roland Delorme,"$24,000 ",2014
1727,Ryan LaFlare,"$24,000 ",2014
1728,Sam Alvey,"$24,000 ",2014
1729,Sean Spencer,"$24,000 ",2014
1730,Shawn Jordan,"$24,000 ",2014
1731,Vaughan Lee,"$24,000 ",2014
1732,Anying Wang,"$24,000 ",2014
1733,Sai Wang,"$24,000 ",2014
1734,Erik Perez,"$21,000 ",2014
1735,Guto Inocente,"$20,000 ",2014
1736,Joe Soto,"$20,000 ",2014
1737,Josh Sampo,"$20,000 ",2014
1738,Lance Benoist,"$20,000 ",2014
1739,Ruan Potts,"$20,000 ",2014
1740,Todd Duffee,"$20,000 ",2014
1741,Uriah Hall,"$20,000 ",2014
1742,Jason High,"$19,000 ",2014
1743,Cat Zingano,"$18,000 ",2014
1744,Sarah Moras,"$18,000 ",2014
1745,TJ Waldburger,"$18,000 ",2014
1746,Francisco Trevino,"$17,600 ",2014
1747,Andrew Craig,"$17,000 ",2014
1748,Igor Pokrajac,"$17,000 ",2014
1749,Ivan Menjivar,"$17,000 ",2014
1750,Liz Carmouche,"$17,000 ",2014
1751,Rustam Khabilov,"$17,000 ",2014
1752,Aaron Phillips,"$16,000 ",2014
1753,Alan Patrick,"$16,000 ",2014
1754,Alejandro Perez,"$16,000 ",2014
1755,Alexander Yakovlev,"$16,000 ",2014
1756,Andy Enz,"$16,000 ",2014
1757,Andy Ogle,"$16,000 ",2014
1758,Angela Hill,"$16,000 ",2014
1759,Augusto Montano,"$16,000 ",2014
1760,Brian Ortega,"$16,000 ",2014
1761,Bryan Barberena,"$16,000 ",2014
1762,Chris Clements,"$16,000 ",2014
1763,Chris Heatherly,"$16,000 ",2014
1764,Chris Indich,"$16,000 ",2014
1765,Chris Wade,"$16,000 ",2014
1766,Colton Smith,"$16,000 ",2014
1767,Daniel Kelly,"$16,000 ",2014
1768,Danny Mitchell,"$16,000 ",2014
1769,Dashon Johnson,"$16,000 ",2014
1770,Diego Rivas,"$16,000 ",2014
1771,Dooho Choi,"$16,000 ",2014
1772,Elizabeth Phillips,"$16,000 ",2014
1773,Felice Herrig,"$16,000 ",2014
1774,Frankie Saenz,"$16,000 ",2014
1775,Gabriel Benitez,"$16,000 ",2014
1776,Garett Whiteley,"$16,000 ",2014
1777,Heather Clark,"$16,000 ",2014
1778,Hector Urbina,"$16,000 ",2014
1779,Hernani Perpetuo,"$16,000 ",2014
1780,Jack May,"$16,000 ",2014
1781,Jake Lindsey,"$16,000 ",2014
1782,Jerrod Sanders,"$16,000 ",2014
1783,Jessamyn Duke,"$16,000 ",2014
1784,Jesse Ronson,"$16,000 ",2014
1785,Jim Alers,"$16,000 ",2014
1786,Jimy Hettes,"$16,000 ",2014
1787,Joanne Wood,"$16,000 ",2014
1788,Joe Riggs,"$16,000 ",2014
1789,Jon Delos Reyes,"$16,000 ",2014
1790,Juan Manuel Puig,"$16,000 ",2014
1791,Kevin Casey,"$16,000 ",2014
1792,Louis Gaudinot,"$16,000 ",2014
1793,Marcelo Guimarães,"$16,000 ",2014
1794,Marcio Alexandre Junior,"$16,000 ",2014
1795,Marco Beltran,"$16,000 ",2014
1796,Michel Prazeres,"$16,000 ",2014
1797,Mike de la Torre,"$16,000 ",2014
1798,Milana Dudieva,"$16,000 ",2014
1799,Mirsad Bektic,"$16,000 ",2014
1800,Naoyuki Kotani,"$16,000 ",2014
1801,Nate Diaz,"$16,000 ",2014
1802,Guangyou Ning,"$16,000 ",2014
1803,Noad Lahat,"$16,000 ",2014
1804,Patrick Walsh,"$16,000 ",2014
1805,Paul Felder,"$16,000 ",2014
1806,Peter Sobotta,"$16,000 ",2014
1807,Phil Harris,"$16,000 ",2014
1808,Renato Moicano,"$16,000 ",2014
1809,Ricardo Abreu,"$16,000 ",2014
1810,Robert Drysdale,"$16,000 ",2014
1811,Robert Whiteford,"$16,000 ",2014
1812,Santiago Ponzinibbio,"$16,000 ",2014
1813,Sean Soriano,"$16,000 ",2014
1814,Takenori Sato,"$16,000 ",2014
1815,Tecia Torres,"$16,000 ",2014
1816,Tiago Trator,"$16,000 ",2014
1817,Tor Troeng,"$16,000 ",2014
1818,Valérie Létourneau,"$16,000 ",2014
1819,Wagner Silva,"$16,000 ",2014
1820,Walt Harris,"$16,000 ",2014
1821,Will Chope,"$16,000 ",2014
1822,Yair Rodriguez,"$16,000 ",2014
1823,Zhang Lipeng,"$16,000 ",2014
1824,Amanda Nunes,"$15,000 ",2014
1825,Daniel Pineda,"$15,000 ",2014
1826,Kyle Kingsbury,"$15,000 ",2014
1827,Rafaello Oliveira,"$14,000 ",2014
1828,John Hathaway,"$13,000 ",2014
1829,Aisling Daly,"$12,800 ",2014
1830,Bobby Voelker,"$12,000 ",2014
1831,Tim Elliott,"$12,000 ",2014
1832,William ‘Patalino’ Macario,"$12,000 ",2014
1833,Alex Chambers,"$11,200 ",2014
1834,Brad Scott,"$10,000 ",2014
1835,Dylan Andrewss,"$10,000 ",2014
1836,Estevan Payan,"$10,000 ",2014
1837,Justin Edwards,"$10,000 ",2014
1838,Kyle Noke,"$10,000 ",2014
1839,Nam Phan,"$10,000 ",2014
1840,Omari Akhmedov,"$10,000 ",2014
1841,Will Campuzano,"$10,000 ",2014
1842,Alan Omer,"$8,000 ",2014
1843,Albert Cheng,"$8,000 ",2014
1844,Andreas Stahl,"$8,000 ",2014
1845,Angela Magana,"$8,000 ",2014
1846,Anthony Lapsley,"$8,000 ",2014
1847,Antonio Braga Neto,"$8,000 ",2014
1848,Antonio Dos Santos,"$8,000 ",2014
1849,Ashlee Evans-Smith,"$8,000 ",2014
1850,Bec Rawlings,"$8,000 ",2014
1851,Ben Wall,"$8,000 ",2014
1852,Brian Houston,"$8,000 ",2014
1853,Bubba Bush,"$8,000 ",2014
1854,Cain Carrizosa,"$8,000 ",2014
1855,Chris Dempsey,"$8,000 ",2014
1856,Christos Giagos,"$8,000 ",2014
1857,Cody Donovan,"$8,000 ",2014
1858,Cristiano Marcello,"$8,000 ",2014
1859,Cyrille Diabate,"$8,000 ",2014
1860,Damon Jackson,"$8,000 ",2014
1861,Daniel Spohn,"$8,000 ",2014
1862,Daniel Omielanczuk,"$8,000 ",2014
1863,Darrell Montague,"$8,000 ",2014
1864,Dave Galera,"$8,000 ",2014
1865,Davey Grant,"$8,000 ",2014
1866,Douglas Silva de Andrade,"$8,000 ",2014
1867,Edgar Garcia,"$8,000 ",2014
1868,Efrain Escudero,"$8,000 ",2014
1869,Emily Kagan,"$8,000 ",2014
1870,Fabricio Camoes,"$8,000 ",2014
1871,Francimar Barroso,"$8,000 ",2014
1872,Guilherme Vasconcelos,"$8,000 ",2014
1873,Humberto Brown Morrison,"$8,000 ",2014
1874,Ivan Jorge,"$8,000 ",2014
1875,Jake Collier,"$8,000 ",2014
1876,James Moontasri,"$8,000 ",2014
1877,Jianping Yang,"$8,000 ",2014
1878,Joby Sanchez,"$8,000 ",2014
1879,Jorge Oliveira,"$8,000 ",2014
1880,Jose Quinonez,"$8,000 ",2014
1881,Josh Copeland,"$8,000 ",2014
1882,Josh Shockley,"$8,000 ",2014
1883,Ramiro Hernandez,"$8,000 ",2014
1884,Justin Jones,"$8,000 ",2014
1885,Keith Berish,"$8,000 ",2014
1886,Larissa Pacheco,"$8,000 ",2014
1887,Lauren Murphy,"$8,000 ",2014
1888,Leon Edwards,"$8,000 ",2014
1889,Leonardo Mafra,"$8,000 ",2014
1890,Leonardo Morales,"$8,000 ",2014
1891,Lisa Ellis,"$8,000 ",2014
1892,Luiz Dutra,"$8,000 ",2014
1893,Marcin Bandel,"$8,000 ",2014
1894,Marlon Vera,"$8,000 ",2014
1895,Mats Nilsson,"$8,000 ",2014
1896,Matt Dwyer,"$8,000 ",2014
1897,Matt Van Buren,"$8,000 ",2014
1898,Mike King,"$8,000 ",2014
1899,Mike Rio,"$8,000 ",2014
1900,Nina Nunes,"$8,000 ",2014
1901,Nolan Ticman,"$8,000 ",2014
1902,Patrick Williams,"$8,000 ",2014
1903,Pawel Pawlak,"$8,000 ",2014
1904,Quinn Mulhern,"$8,000 ",2014
1905,Richardson Moreira,"$8,000 ",2014
1906,Rin Nakai,"$8,000 ",2014
1907,Robert McDaniel,"$8,000 ",2014
1908,Rodolfo Rubio Perez,"$8,000 ",2014
1909,Rodrigo de Lima,"$8,000 ",2014
1910,Roldan Sangcha'an,"$8,000 ",2014
1911,Roman Salazar,"$8,000 ",2014
1912,Scott Askham,"$8,000 ",2014
1913,Seo Hee Ham,"$8,000 ",2014
1914,Shane Howell,"$8,000 ",2014
1915,Shayna Baszler,"$8,000 ",2014
1916,Sheldon Westcott,"$8,000 ",2014
1917,Shinsho Anzai,"$8,000 ",2014
1918,Shunichi Shimizu,"$8,000 ",2014
1919,Tateki Matsuda,"$8,000 ",2014
1920,Thiago Perpetuo,"$8,000 ",2014
1921,Tina Lahdemaki,"$8,000 ",2014
1922,Vagner Rocha,"$8,000 ",2014
1923,Valmir Lazaro,"$8,000 ",2014
1924,Viktor Pesta,"$8,000 ",2014
1925,Viscardi Andrade,"$8,000 ",2014
1926,Wendell Oliveira Marques,"$8,000 ",2014
1927,Willie Gates,"$8,000 ",2014
1928,Yao Zhikui,"$8,000 ",2014
1929,Renee Forte,"$6,400 ",2014
1930,Ronny Markes,"$6,400 ",2014
1931,Alexis Dufresne,"$6,000 ",2014
1932,Conor McGregor,"$1,390,000 ",2015
1933,Anthony ‘Rumble’ Johnson,"$951,000 ",2015
1934,Chris Weidman,"$915,000 ",2015
1935,Michael Bisping,"$870,000 ",2015
1936,Vitor Belfort,"$860,000 ",2015
1937,Chad Mendes,"$773,000 ",2015
1938,Frankie Edgar,"$745,000 ",2015
1939,Frank Mir,"$740,000 ",2015
1940,Alistair Overeem,"$697,857 ",2015
1941,Daniel Cormier,"$650,000 ",2015
